fecha,canal,trx,ventas_clp,nieve_cm
2026-06-20,web,95,5093480,5.8
2026-06-20,taquilla,139,8054945,5.8
2026-06-20,hotel,62,2853367,5.8
2026-06-20,app,78,4299932,5.8
2026-06-21,web,117,5919433,11.2
2026-06-21,taquilla,175,8870270,11.2
2026-06-21,hotel,67,3348493,11.2
2026-06-21,app,106,5444437,11.2
2026-06-22,web,98,5544077,14.1
2026-06-22,taquilla,147,5605858,14.1
2026-06-22,hotel,56,2876219,14.1
2026-06-22,app,85,4813110,14.1
2026-06-23,web,108,5857527,19.6
2026-06-23,taquilla,169,10179495,19.6
2026-06-23,hotel,65,2796866,19.6
2026-06-23,app,96,4673259,19.6
2026-06-24,web,85,4349925,8.8
2026-06-24,taquilla,116,6180803,8.8
2026-06-24,hotel,55,2931614,8.8
2026-06-24,app,75,4818602,8.8
2026-06-25,web,61,3433728,3.3
2026-06-25,taquilla,83,4411645,3.3
2026-06-25,hotel,45,2586259,3.3
2026-06-25,app,57,3260887,3.3
2026-06-26,web,52,2516862,0.0
2026-06-26,taquilla,82,3651821,0.0
2026-06-26,hotel,17,898524,0.0
2026-06-26,app,32,1891027,0.0
2026-06-27,web,98,4997288,4.4
2026-06-27,taquilla,136,6896904,4.4
2026-06-27,hotel,40,2238953,4.4
2026-06-27,app,77,4500516,4.4
2026-06-28,web,58,2510239,0.0
2026-06-28,taquilla,84,3831510,0.0
2026-06-28,hotel,36,1846830,0.0
2026-06-28,app,74,2814298,0.0
2026-06-29,web,97,4863964,11.7
2026-06-29,taquilla,134,7433057,11.7
2026-06-29,hotel,64,4029985,11.7
2026-06-29,app,72,3631100,11.7
2026-06-30,web,98,6196669,14.6
2026-06-30,taquilla,142,7786362,14.6
2026-06-30,hotel,75,3402480,14.6
2026-06-30,app,74,3659851,14.6
2026-07-01,web,108,4993749,13.8
2026-07-01,taquilla,152,8560797,13.8
2026-07-01,hotel,74,4849006,13.8
2026-07-01,app,72,3842546,13.8
2026-07-02,web,81,3727251,8.9
2026-07-02,taquilla,121,6370883,8.9
2026-07-02,hotel,37,1731202,8.9
2026-07-02,app,62,3235916,8.9
2026-07-03,web,115,5862844,17.2
2026-07-03,taquilla,158,8909943,17.2
2026-07-03,hotel,60,3043910,17.2
2026-07-03,app,85,5134905,17.2
2026-07-04,web,131,7103381,10.2
2026-07-04,taquilla,173,9286444,10.2
2026-07-04,hotel,57,2502567,10.2
2026-07-04,app,93,4766869,10.2
2026-07-05,web,129,7174226,13.8
2026-07-05,taquilla,181,9001298,13.8
2026-07-05,hotel,79,4056304,13.8
2026-07-05,app,102,5235169,13.8
2026-07-06,web,72,2855286,5.2
2026-07-06,taquilla,109,6742189,5.2
2026-07-06,hotel,44,2363830,5.2
2026-07-06,app,58,3512328,5.2
2026-07-07,web,112,5400559,14.2
2026-07-07,taquilla,162,7649065,14.2
2026-07-07,hotel,50,2915141,14.2
2026-07-07,app,84,4789508,14.2
2026-07-08,web,74,4566149,2.9
2026-07-08,taquilla,83,5282092,2.9
2026-07-08,hotel,28,1548768,2.9
2026-07-08,app,49,1990743,2.9
2026-07-09,web,76,4856332,7.4
2026-07-09,taquilla,109,4523590,7.4
2026-07-09,hotel,51,3042885,7.4
2026-07-09,app,53,2948592,7.4
2026-07-10,web,69,4093803,5.1
2026-07-10,taquilla,109,5868775,5.1
2026-07-10,hotel,48,2153221,5.1
2026-07-10,app,64,2598405,5.1
2026-07-11,web,93,5365159,5.9
2026-07-11,taquilla,127,6145597,5.9
2026-07-11,hotel,66,3563737,5.9
2026-07-11,app,82,4408700,5.9
2026-07-12,web,148,8298632,17.6
2026-07-12,taquilla,219,12083266,17.6
2026-07-12,hotel,99,4315288,17.6
2026-07-12,app,118,6505967,17.6
2026-07-13,web,101,5460516,9.9
2026-07-13,taquilla,114,6533711,9.9
2026-07-13,hotel,60,3351656,9.9
2026-07-13,app,80,4365816,9.9
2026-07-14,web,112,6020009,16.1
2026-07-14,taquilla,142,7004649,16.1
2026-07-14,hotel,68,4071225,16.1
2026-07-14,app,84,3941856,16.1
2026-07-15,web,91,4142139,9.8
2026-07-15,taquilla,119,5874227,9.8
2026-07-15,hotel,58,2439025,9.8
2026-07-15,app,76,4315496,9.8
2026-07-16,web,67,3499802,4.8
2026-07-16,taquilla,108,5991001,4.8
2026-07-16,hotel,52,2151355,4.8
2026-07-16,app,71,3385482,4.8
2026-07-17,web,83,4041752,10.1
2026-07-17,taquilla,128,6108093,10.1
2026-07-17,hotel,57,2756409,10.1
2026-07-17,app,55,3114216,10.1
2026-07-18,web,128,6540331,11.0
2026-07-18,taquilla,174,9904309,11.0
2026-07-18,hotel,61,3522661,11.0
2026-07-18,app,100,5392972,11.0
2026-07-19,web,160,7337514,19.4
2026-07-19,taquilla,220,11334640,19.4
2026-07-19,hotel,100,4999225,19.4
2026-07-19,app,133,9162855,19.4
2026-07-20,web,82,3682522,10.4
2026-07-20,taquilla,117,5531179,10.4
2026-07-20,hotel,44,2473920,10.4
2026-07-20,app,67,4439028,10.4
2026-07-21,web,104,6011436,16.9
2026-07-21,taquilla,170,11297780,16.9
2026-07-21,hotel,68,3259148,16.9
2026-07-21,app,99,5092097,16.9
2026-07-22,web,112,6759629,11.8
2026-07-22,taquilla,138,8222844,11.8
2026-07-22,hotel,53,3115370,11.8
2026-07-22,app,71,4271360,11.8
2026-07-23,web,83,3911061,9.2
2026-07-23,taquilla,111,7218072,9.2
2026-07-23,hotel,49,2532959,9.2
2026-07-23,app,67,3677831,9.2
2026-07-24,web,97,5177225,11.1
2026-07-24,taquilla,124,6954635,11.1
2026-07-24,hotel,51,2514642,11.1
2026-07-24,app,76,3489730,11.1
2026-07-25,web,170,6912686,24.5
2026-07-25,taquilla,259,16689725,24.5
2026-07-25,hotel,105,6028203,24.5
2026-07-25,app,138,7801502,24.5
2026-07-26,web,160,7052439,17.3
2026-07-26,taquilla,225,13408972,17.3
2026-07-26,hotel,91,5289414,17.3
2026-07-26,app,110,6047603,17.3
2026-07-27,web,71,3281715,7.1
2026-07-27,taquilla,115,5352635,7.1
2026-07-27,hotel,47,2235824,7.1
2026-07-27,app,57,2829639,7.1
2026-07-28,web,93,4992756,12.6
2026-07-28,taquilla,128,6395257,12.6
2026-07-28,hotel,48,2051900,12.6
2026-07-28,app,91,4184545,12.6
2026-07-29,web,99,4613391,14.4
2026-07-29,taquilla,131,8074183,14.4
2026-07-29,hotel,77,4297828,14.4
2026-07-29,app,82,3493719,14.4
2026-07-30,web,112,7274840,23.3
2026-07-30,taquilla,172,8512989,23.3
2026-07-30,hotel,72,3521101,23.3
2026-07-30,app,119,5911585,23.3
2026-07-31,web,90,5397842,8.2
2026-07-31,taquilla,118,5972439,8.2
2026-07-31,hotel,52,2683757,8.2
2026-07-31,app,71,3661463,8.2
2026-08-01,web,130,6720069,9.3
2026-08-01,taquilla,162,10004170,9.3
2026-08-01,hotel,51,2918210,9.3
2026-08-01,app,89,4612641,9.3
2026-08-02,web,119,6457385,6.5
2026-08-02,taquilla,143,7738401,6.5
2026-08-02,hotel,74,3830115,6.5
2026-08-02,app,81,5238046,6.5
2026-08-03,web,89,3629175,11.1
2026-08-03,taquilla,132,7862944,11.1
2026-08-03,hotel,52,2717634,11.1
2026-08-03,app,83,3783746,11.1
2026-08-04,web,89,4819335,12.3
2026-08-04,taquilla,129,6951065,12.3
2026-08-04,hotel,49,2466013,12.3
2026-08-04,app,88,4191800,12.3
2026-08-05,web,116,6403851,11.5
2026-08-05,taquilla,136,6568085,11.5
2026-08-05,hotel,60,3379369,11.5
2026-08-05,app,76,4304050,11.5
2026-08-06,web,62,3721120,1.4
2026-08-06,taquilla,84,3841466,1.4
2026-08-06,hotel,24,1273724,1.4
2026-08-06,app,48,3174432,1.4
2026-08-07,web,81,3997124,5.1
2026-08-07,taquilla,106,5594671,5.1
2026-08-07,hotel,44,2051435,5.1
2026-08-07,app,53,2785676,5.1
2026-08-08,web,142,8311682,12.8
2026-08-08,taquilla,172,9347898,12.8
2026-08-08,hotel,75,4098914,12.8
2026-08-08,app,108,6364489,12.8
2026-08-09,web,130,6515768,13.2
2026-08-09,taquilla,199,10138034,13.2
2026-08-09,hotel,86,4252943,13.2
2026-08-09,app,102,5977921,13.2
2026-08-10,web,65,2958274,6.1
2026-08-10,taquilla,104,5053391,6.1
2026-08-10,hotel,41,1854799,6.1
2026-08-10,app,81,3724032,6.1
2026-08-11,web,99,4637887,16.4
2026-08-11,taquilla,147,9066504,16.4
2026-08-11,hotel,62,3435671,16.4
2026-08-11,app,92,4300898,16.4
2026-08-12,web,84,3930825,10.4
2026-08-12,taquilla,130,5973341,10.4
2026-08-12,hotel,33,1640159,10.4
2026-08-12,app,89,4838288,10.4
2026-08-13,web,76,3564301,4.9
2026-08-13,taquilla,93,4360275,4.9
2026-08-13,hotel,41,1882978,4.9
2026-08-13,app,43,2146653,4.9
2026-08-14,web,77,4037041,6.8
2026-08-14,taquilla,94,5500387,6.8
2026-08-14,hotel,52,2564030,6.8
2026-08-14,app,58,2442239,6.8
2026-08-15,web,99,5338505,6.5
2026-08-15,taquilla,148,7492622,6.5
2026-08-15,hotel,64,3426844,6.5
2026-08-15,app,87,4606166,6.5
2026-08-16,web,130,5504679,13.5
2026-08-16,taquilla,169,7919452,13.5
2026-08-16,hotel,88,4219276,13.5
2026-08-16,app,108,4922942,13.5
2026-08-17,web,63,2826005,5.3
2026-08-17,taquilla,107,4891110,5.3
2026-08-17,hotel,52,2921313,5.3
2026-08-17,app,55,2997365,5.3
2026-08-18,web,102,5423094,13.1
2026-08-18,taquilla,136,6171143,13.1
2026-08-18,hotel,50,3138191,13.1
2026-08-18,app,87,5012405,13.1
2026-08-19,web,108,6226321,15.2
2026-08-19,taquilla,148,6878083,15.2
2026-08-19,hotel,76,3637479,15.2
2026-08-19,app,80,4310286,15.2
2026-08-20,web,96,5099498,11.9
2026-08-20,taquilla,132,6215284,11.9
2026-08-20,hotel,62,3856485,11.9
2026-08-20,app,78,4564737,11.9
2026-08-21,web,74,3360540,8.4
2026-08-21,taquilla,114,5399545,8.4
2026-08-21,hotel,66,3610546,8.4
2026-08-21,app,63,2959675,8.4
2026-08-22,web,93,5188939,5.5
2026-08-22,taquilla,139,6687712,5.5
2026-08-22,hotel,45,2419922,5.5
2026-08-22,app,77,4081374,5.5
2026-08-23,web,107,4827160,7.0
2026-08-23,taquilla,144,6022909,7.0
2026-08-23,hotel,62,3050317,7.0
2026-08-23,app,85,4579038,7.0
2026-08-24,web,105,5353220,15.4
2026-08-24,taquilla,145,7683961,15.4
2026-08-24,hotel,56,2709385,15.4
2026-08-24,app,87,5253934,15.4
2026-08-25,web,52,1934544,0.0
2026-08-25,taquilla,89,3776864,0.0
2026-08-25,hotel,34,1404381,0.0
2026-08-25,app,44,2348855,0.0
2026-08-26,web,85,4165537,10.8
2026-08-26,taquilla,131,7882993,10.8
2026-08-26,hotel,53,3286000,10.8
2026-08-26,app,78,4326783,10.8
2026-08-27,web,104,7021368,15.4
2026-08-27,taquilla,138,8845494,15.4
2026-08-27,hotel,73,3274249,15.4
2026-08-27,app,76,3726460,15.4
2026-08-28,web,79,3280081,6.4
2026-08-28,taquilla,103,5435712,6.4
2026-08-28,hotel,51,2681890,6.4
2026-08-28,app,72,4386630,6.4
2026-08-29,web,99,5167499,3.4
2026-08-29,taquilla,121,7777848,3.4
2026-08-29,hotel,54,2682956,3.4
2026-08-29,app,73,4020043,3.4
2026-08-30,web,121,6171753,10.7
2026-08-30,taquilla,167,9083767,10.7
2026-08-30,hotel,80,3968659,10.7
2026-08-30,app,86,4098333,10.7
2026-08-31,web,75,3341402,4.6
2026-08-31,taquilla,111,5742034,4.6
2026-08-31,hotel,45,2499531,4.6
2026-08-31,app,45,2804355,4.6
